season,episode,name,
1,1,Cocaine Blues,
1,2,Murder on the Ballarat Train,
1,3,The Green Mill Murder,
1,4,Death at Victoria Dock,
1,5,Raisins and Almonds,
1,6,Ruddy Gore,
1,7,Murder in Montparnasse,
1,8,Away with the Fairies,
1,9,Queen of the Flowers,
1,10,Death by Miss Adventure,
1,11,Blood and Circuses,
1,12,Murder in the Dark,
1,13,King Memses' Curse,
2,1,Murder Most Scandalous,
2,2,Death Comes Knocking,
2,3,Dead Man's Chest,
2,4,Deadweight,
2,5,Murder a la Mode,
2,6,Marked for Murder,
2,7,Blood at the Wheel,
2,8,The Blood of Juana the Mad,
2,9,Framed for Murder,
2,10,Death on the Vine,
2,11,Dead Air,
2,12,Unnatural Habits,
2,13,Murder Under the Mistletoe,
3,1,Death Defying Feats,
3,2,Murder & the Maiden,
3,3,Murder & Mozzarella,
3,4,Blood & Money,
3,5,Death & Hysteria,
3,6,Death at the Grand,
3,7,"Game, Set & Murder",
3,8,Death Do Us Part
