season,episode,Jack in Phryne's home,Phryne sitting in Jack's table,Phryne in Jack's office,Phryne in Jack's police station
1,1,0,0,0,1
1,2,3,0,0,1
1,3,0,1,3,3
1,4,2,0,0,1
1,5,1,1,2,4
1,6,0,1,2,1
1,7,2,0,2,2
1,8,3,0,1,2
1,9,2,0,3,1
1,10,1,1,3,4
1,11,2,2,0,3
1,12,2,0,1,2
1,13,1,0,3,3
2,1,1,0,3,1
2,2,6,1,3,5
2,3,0,0,0,0
2,4,2,0,2,6
2,5,5,0,2,4
2,6,0,0,1,3
2,7,3,1,1,3
2,8,3,0,0,0
2,9,2,1,1,3
2,10,1,0,0,2
2,11,3,1,1,3
2,12,5,0,4,1
2,13,1,0,0,0
3,1,2,0,0,1
3,2,1,1,3,2
3,3,3,1,1,4
3,4,2,0,0,5
3,5,0,0,2,3
3,6,0,0,4,1
3,7,3,2,3,2
3,8,1,1,2,1
